setup_pic,setup_obj,setup_col,target_pic,target_obj,target_col,distractor,distractor_col,distractor_cond,focus_cond,condition
Erbse_gruen.png,Erbse,gruen,Kette_gold.png,Kette,gold,Schaf,weiss,filler,filler,filler
Mund_rot.png,Mund,rot,Geige_braun.png,Geige,braun,Anzug,schwarz,unrel,nofoc,unrel_nofoc
Ring_gold.png,Ring,gold,Brief_weiss.png,Brief,weiss,Iglu,weiss,rel,nofoc,rel_nofoc
Kaktus_gruen.png,Kaktus,gruen,Raupe_gruen.png,Raupe,gruen,Herz,rot,unrel,foc,unrel_foc
Klavier_schwarz.png,Klavier,schwarz,Reifen_schwarz_neu.png,Reifen,schwarz,Zahn,weiss,unrel,foc,unrel_foc
Herz_rot.png,Herz,rot,Tomate_rot.png,Tomate,rot,Mund,rot,rel,foc,rel_foc
Holz_braun.png,Holz,braun,Ring_gold.png,Ring,gold,Krone,gold,rel,nofoc,rel_nofoc
Salat_gruen.png,Salat,gruen,Kaktus_gruen.png,Kaktus,gruen,Nuss,braun,unrel,foc,unrel_foc
Anzug_schwarz.png,Anzug,schwarz,Zahn_weiss.png,Zahn,weiss,Brief,weiss,rel,nofoc,rel_nofoc
Herz_rot.png,Herz,rot,Klavier_schwarz.png,Klavier,schwarz,Iglu,weiss,unrel,nofoc,unrel_nofoc
Raupe_gruen.png,Raupe,gruen,Holz_braun.png,Holz,braun,Tomate,rot,unrel,nofoc,unrel_nofoc
Pokal_gold.png,Pokal,gold,Krone_gold.png,Krone,gold,Ring,gold,rel,foc,rel_foc
Nuss_braun.png,Nuss,braun,Anzug_schwarz.png,Anzug,schwarz,Klavier,schwarz,rel,nofoc,rel_nofoc
Herz_rot.png,Herz,rot,Salat_gruen.png,Salat,gruen,Kaktus,gruen,rel,nofoc,rel_nofoc
Brief_weiss.png,Brief,weiss,Iglu_weiss.png,Iglu,weiss,Holz,braun,unrel,foc,unrel_foc
Mund_rot.png,Mund,rot,Tomate_rot.png,Tomate,rot,Klavier,schwarz,unrel,foc,unrel_foc
Ring_gold.png,Ring,gold,Pokal_gold.png,Pokal,gold,Krone,gold,rel,foc,rel_foc
Anzug_schwarz.png,Anzug,schwarz,Kaktus_gruen.png,Kaktus,gruen,Raupe,gruen,rel,nofoc,rel_nofoc
Geige_braun.png,Geige,braun,Nuss_braun.png,Nuss,braun,Reifen,schwarz,unrel,foc,unrel_foc
Mund_rot.png,Mund,rot,Herz_rot.png,Herz,rot,Tomate,rot,rel,foc,rel_foc
Ring_gold.png,Ring,gold,Krone_gold.png,Krone,gold,Anzug,schwarz,unrel,foc,unrel_foc
Brief_weiss.png,Brief,weiss,Raupe_gruen.png,Raupe,gruen,Salat,gruen,rel,nofoc,rel_nofoc
Pokal_gold.png,Pokal,gold,Klavier_schwarz.png,Klavier,schwarz,Reifen,schwarz,rel,nofoc,rel_nofoc
Iglu_weiss.png,Iglu,weiss,Zahn_weiss.png,Zahn,weiss,Geige,braun,unrel,foc,unrel_foc
Ring_gold.png,Ring,gold,Salat_gruen.png,Salat,gruen,Herz,rot,unrel,nofoc,unrel_nofoc
Nuss_braun.png,Nuss,braun,Holz_braun.png,Holz,braun,Pokal,gold,unrel,foc,unrel_foc
Kaktus_gruen.png,Kaktus,gruen,Reifen_schwarz_neu.png,Reifen,schwarz,Anzug,schwarz,rel,nofoc,rel_nofoc
Krone_gold.png,Krone,gold,Mund_rot.png,Mund,rot,Raupe,gruen,unrel,nofoc,unrel_nofoc
Nuss_braun.png,Nuss,braun,Geige_braun.png,Geige,braun,Holz,braun,rel,foc,rel_foc
Zahn_weiss.png,Zahn,weiss,Iglu_weiss.png,Iglu,weiss,Brief,weiss,rel,foc,rel_foc
Salat_gruen.png,Salat,gruen,Pokal_gold.png,Pokal,gold,Ring,gold,rel,nofoc,rel_nofoc
Nuss_braun.png,Nuss,braun,Herz_rot.png,Herz,rot,Krone,gold,unrel,nofoc,unrel_nofoc
Raupe_gruen.png,Raupe,gruen,Anzug_schwarz.png,Anzug,schwarz,Tomate,rot,unrel,nofoc,unrel_nofoc
Zahn_weiss.png,Zahn,weiss,Brief_weiss.png,Brief,weiss,Reifen,schwarz,unrel,foc,unrel_foc
Krone_gold.png,Krone,gold,Ring_gold.png,Ring,gold,Pokal,gold,rel,foc,rel_foc
Klavier_schwarz.png,Klavier,schwarz,Nuss_braun.png,Nuss,braun,Holz,braun,rel,nofoc,rel_nofoc
Raupe_gruen.png,Raupe,gruen,Kaktus_gruen.png,Kaktus,gruen,Salat,gruen,rel,foc,rel_foc
