setup_pic,setup_obj,setup_col,target_pic,target_obj,target_col,distractor,distractor_col,distractor_cond,focus_cond,condition
Koffer_schwarz.png,Koffer,schwarz,Erbse_gruen.png,Erbse,gruen,Blut,rot,filler,filler,filler
Reifen_schwarz_neu.png,Reifen,schwarz,Klavier_schwarz.png,Klavier,schwarz,Anzug,schwarz,rel,foc,rel_foc
Holz_braun.png,Holz,braun,Ring_gold.png,Ring,gold,Krone,gold,rel,nofoc,rel_nofoc
Salat_gruen.png,Salat,gruen,Reifen_schwarz_neu.png,Reifen,schwarz,Mund,rot,unrel,nofoc,unrel_nofoc
Kaktus_gruen.png,Kaktus,gruen,Raupe_gruen.png,Raupe,gruen,Herz,rot,unrel,foc,unrel_foc
Zahn_weiss.png,Zahn,weiss,Iglu_weiss.png,Iglu,weiss,Brief,weiss,rel,foc,rel_foc
Geige_braun.png,Geige,braun,Holz_braun.png,Holz,braun,Nuss,braun,rel,foc,rel_foc
Kaktus_gruen.png,Kaktus,gruen,Tomate_rot.png,Tomate,rot,Herz,rot,rel,nofoc,rel_nofoc
Ring_gold.png,Ring,gold,Krone_gold.png,Krone,gold,Anzug,schwarz,unrel,foc,unrel_foc
Salat_gruen.png,Salat,gruen,Raupe_gruen.png,Raupe,gruen,Kaktus,gruen,rel,foc,rel_foc
Pokal_gold.png,Pokal,gold,Klavier_schwarz.png,Klavier,schwarz,Reifen,schwarz,rel,nofoc,rel_nofoc
Iglu_weiss.png,Iglu,weiss,Zahn_weiss.png,Zahn,weiss,Geige,braun,unrel,foc,unrel_foc
Tomate_rot.png,Tomate,rot,Mund_rot.png,Mund,rot,Herz,rot,rel,foc,rel_foc
Raupe_gruen.png,Raupe,gruen,Kaktus_gruen.png,Kaktus,gruen,Salat,gruen,rel,foc,rel_foc
Pokal_gold.png,Pokal,gold,Geige_braun.png,Geige,braun,Nuss,braun,rel,nofoc,rel_nofoc
Reifen_schwarz_neu.png,Reifen,schwarz,Anzug_schwarz.png,Anzug,schwarz,Krone,gold,unrel,foc,unrel_foc
Mund_rot.png,Mund,rot,Tomate_rot.png,Tomate,rot,Klavier,schwarz,unrel,foc,unrel_foc
Ring_gold.png,Ring,gold,Brief_weiss.png,Brief,weiss,Iglu,weiss,rel,nofoc,rel_nofoc
Geige_braun.png,Geige,braun,Nuss_braun.png,Nuss,braun,Reifen,schwarz,unrel,foc,unrel_foc
Herz_rot.png,Herz,rot,Salat_gruen.png,Salat,gruen,Kaktus,gruen,rel,nofoc,rel_nofoc
Mund_rot.png,Mund,rot,Krone_gold.png,Krone,gold,Brief,weiss,unrel,nofoc,unrel_nofoc
Raupe_gruen.png,Raupe,gruen,Holz_braun.png,Holz,braun,Tomate,rot,unrel,nofoc,unrel_nofoc
Klavier_schwarz.png,Klavier,schwarz,Reifen_schwarz_neu.png,Reifen,schwarz,Zahn,weiss,unrel,foc,unrel_foc
Salat_gruen.png,Salat,gruen,Pokal_gold.png,Pokal,gold,Ring,gold,rel,nofoc,rel_nofoc
Tomate_rot.png,Tomate,rot,Herz_rot.png,Herz,rot,Brief,weiss,unrel,foc,unrel_foc
Reifen_schwarz_neu.png,Reifen,schwarz,Iglu_weiss.png,Iglu,weiss,Zahn,weiss,rel,nofoc,rel_nofoc
Krone_gold.png,Krone,gold,Pokal_gold.png,Pokal,gold,Mund,rot,unrel,foc,unrel_foc
Raupe_gruen.png,Raupe,gruen,Anzug_schwarz.png,Anzug,schwarz,Tomate,rot,unrel,nofoc,unrel_nofoc
Ring_gold.png,Ring,gold,Salat_gruen.png,Salat,gruen,Herz,rot,unrel,nofoc,unrel_nofoc
Klavier_schwarz.png,Klavier,schwarz,Nuss_braun.png,Nuss,braun,Holz,braun,rel,nofoc,rel_nofoc
Krone_gold.png,Krone,gold,Ring_gold.png,Ring,gold,Pokal,gold,rel,foc,rel_foc
Anzug_schwarz.png,Anzug,schwarz,Kaktus_gruen.png,Kaktus,gruen,Raupe,gruen,rel,nofoc,rel_nofoc
Herz_rot.png,Herz,rot,Mund_rot.png,Mund,rot,Pokal,gold,unrel,foc,unrel_foc
Brief_weiss.png,Brief,weiss,Zahn_weiss.png,Zahn,weiss,Iglu,weiss,rel,foc,rel_foc
Ring_gold.png,Ring,gold,Salat_gruen.png,Salat,gruen,Herz,rot,unrel,nofoc,unrel_nofoc
Krone_gold.png,Krone,gold,Brief_weiss.png,Brief,weiss,Nuss,braun,unrel,nofoc,unrel_nofoc
Anzug_schwarz.png,Anzug,schwarz,Reifen_schwarz_neu.png,Reifen,schwarz,Klavier,schwarz,rel,foc,rel_foc
